@relation 'train_set-weka.filters.unsupervised.attribute.Remove-R1-2,6,8-9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute home_score numeric
@attribute away_score numeric
@attribute strength_code {PP,EV,SH}
@attribute shot_distance numeric
@attribute shot_angle numeric
@attribute shot_outcome {SHOT,MISSED_SHOT,GOAL}

@data
0,3,EV,0.235318,1.4,MISSED_SHOT
2,8,PP,-0.054511,47.4,SHOT
2,3,EV,-1.085477,6.3,MISSED_SHOT
1,0,SH,0.649361,2.2,SHOT
4,0,EV,-0.257392,3.9,SHOT
2,4,EV,0.910207,6,MISSED_SHOT
4,1,EV,-0.687996,15.5,MISSED_SHOT
0,0,EV,-1.147583,23.2,SHOT
1,0,EV,-0.348481,58.7,SHOT
1,1,EV,-0.518239,52.1,SHOT
1,2,EV,-0.832911,23.2,MISSED_SHOT
4,6,PP,-0.170443,39.8,SHOT
3,1,EV,-1.015089,33.7,MISSED_SHOT
1,2,EV,-1.126881,7.1,SHOT
3,3,EV,0.984735,18.7,SHOT
1,0,EV,-0.766664,17.4,MISSED_SHOT
1,0,EV,0.910207,24.8,SHOT
3,0,EV,-0.870175,24.8,SHOT
3,2,EV,-1.164145,33.7,SHOT
2,1,EV,0.752871,17.4,SHOT
0,0,EV,-1.085477,6.3,SHOT
1,6,PP,-1.12274,14,GOAL
0,0,EV,-0.870175,12.1,SHOT
2,7,EV,-0.948843,14,GOAL
0,0,EV,0.653501,40.2,SHOT
0,0,EV,-0.381605,32.5,SHOT
1,0,EV,-0.899157,36,SHOT
2,1,EV,-1.081336,12.5,SHOT
2,0,EV,-0.948843,14,SHOT
3,3,EV,0.073842,3.1,SHOT
0,0,PP,-0.220128,30,SHOT
4,1,PP,-1.131021,0,GOAL
1,1,PP,0.429918,23.2,MISSED_SHOT
0,0,EV,-1.006808,5.2,MISSED_SHOT
0,0,EV,2.417321,11.1,SHOT
0,0,EV,0.752871,17.4,SHOT
0,0,EV,0.243599,14,MISSED_SHOT
0,1,EV,-0.348481,58.7,MISSED_SHOT
0,0,EV,0.868803,6.1,SHOT
1,3,EV,-0.903298,48,SHOT
1,1,PP,-1.164145,56.3,SHOT
0,3,EV,0.914348,35.1,MISSED_SHOT
3,3,EV,-0.965404,41.6,SHOT
1,1,EV,-0.932281,38.7,SHOT
0,1,EV,-1.081336,49.4,MISSED_SHOT
0,1,EV,-0.837051,7.6,MISSED_SHOT
5,1,EV,-1.110319,45,SHOT
2,4,SH,-0.087635,43.8,SHOT
1,6,EV,-0.609328,39.1,GOAL
1,4,EV,0.243599,29.1,SHOT
7,1,PP,0.699046,16.7,MISSED_SHOT
0,2,EV,-1.126881,60.3,MISSED_SHOT
2,3,PP,0.355391,11.8,SHOT
2,1,PP,-0.659013,55.5,SHOT
4,0,EV,-0.451992,19.2,MISSED_SHOT
2,1,PP,-0.679715,32,MISSED_SHOT
0,1,EV,0.616237,12.7,MISSED_SHOT
1,0,EV,0.44648,29.9,SHOT
2,3,EV,0.115246,3,SHOT
0,2,EV,-0.547222,71.6,SHOT
0,1,EV,0.74459,34.3,SHOT
3,3,EV,-0.588626,5.4,MISSED_SHOT
0,0,EV,0.54171,7.1,MISSED_SHOT
0,3,EV,-0.170443,39.8,SHOT
2,3,EV,0.537569,56,SHOT
2,1,PP,0.653501,30.6,MISSED_SHOT
0,3,EV,0.893646,30.6,MISSED_SHOT
1,1,EV,-0.551362,39.5,MISSED_SHOT
1,2,EV,-0.555502,43.2,SHOT
1,1,EV,-0.356762,13,SHOT
2,2,EV,-0.451992,70.8,SHOT
0,1,EV,-1.015089,21.8,SHOT
1,0,EV,-0.352622,26.6,MISSED_SHOT
6,3,PP,0.032438,41.6,GOAL
1,2,EV,-0.104196,37.6,MISSED_SHOT
4,1,EV,-0.162162,9.2,SHOT
0,0,EV,0.467182,35.4,SHOT
1,1,EV,4.247388,9.6,SHOT
1,2,PP,-0.124898,21.8,MISSED_SHOT
2,2,PP,-1.126881,60.3,GOAL
1,1,EV,0.607956,0,SHOT
0,0,EV,0.214616,40,SHOT
2,1,EV,0.44234,47.6,SHOT
0,0,EV,-0.112477,50,SHOT
2,1,EV,1.075824,28.2,MISSED_SHOT
0,0,EV,0.342969,53.4,SHOT
0,2,EV,-0.087635,74.3,SHOT
3,5,EV,0.823258,45,SHOT
4,1,EV,-0.667294,62.1,SHOT
0,0,PP,-0.965404,4.8,SHOT
0,0,EV,-0.286375,10.1,SHOT
0,0,EV,5.775204,8.2,SHOT
0,1,EV,-0.882596,4.1,SHOT
0,0,EV,0.177352,43,SHOT
1,5,EV,-0.104196,31.3,GOAL
1,0,EV,-0.940562,71.6,SHOT
0,0,EV,0.400935,0,MISSED_SHOT
3,2,EV,0.715607,21.2,SHOT
2,0,EV,-0.344341,51,SHOT
1,0,EV,-0.580345,48.8,MISSED_SHOT
0,0,EV,-0.7294,47.3,SHOT
4,1,EV,-0.63417,2.9,MISSED_SHOT
1,2,EV,0.467182,14.9,SHOT
3,2,PP,-0.423009,61.4,SHOT
2,0,EV,-0.215988,3.8,GOAL
0,4,EV,1.829381,21.4,SHOT
0,0,EV,-0.924,0,SHOT
0,2,PP,0.094544,39.6,SHOT
0,2,EV,-1.172425,0,GOAL
1,4,EV,0.64522,46.6,SHOT
0,1,EV,4.582762,0,SHOT
0,2,PP,-0.779085,14,SHOT
0,1,EV,-0.63417,2.9,SHOT
1,0,EV,1.601658,0,SHOT
1,0,EV,0.077982,36.3,SHOT
0,1,EV,-0.580345,48.8,MISSED_SHOT
2,3,EV,-0.058652,45,SHOT
1,0,PP,0.926769,14,MISSED_SHOT
